Method,mIoU,RA-21 AuPRC,RA-21 FPR95,RO-21 AuPRC,RO-21 FPR95,FS L&F AuPRC,FS L&F FPR95,FS Static AuPRC,FS Static FPR95,RoadAnom AuPRC,RoadAnom FPR95
MSP,81.68,74.36,33.73,90.11,0.55,25.42,14.9,54.35,34.94,75.69,19.31
MSP(t=0.5),,74.21,33.73,90.1,0.55,25.4,14.91,54.33,34.94,75.51,19.37
MSP(t=0.75),,74.29,33.73,90.11,0.55,25.41,14.91,54.34,34.94,75.62,19.33
MSP(t=1.1),,74.4,33.73,90.11,0.55,25.42,14.9,54.35,34.94,75.71,19.3
MSP(best t=2.0),,74.55,33.73,90.11,0.55,25.44,14.9,54.36,34.93,75.87,19.28
MaxEntropy,81.68,77.88,33.6,90.01,0.68,29.56,14.72,52.51,34.84,78.14,18.79
MaxEntropy(t=0.5),,77.43,33.68,90.09,0.59,29.55,14.83,53.21,34.91,78.43,19.03
MaxEntropy(t=0.75),,77.71,33.63,90.04,0.64,29.55,14.76,52.86,34.87,78.33,18.88
MaxEntropy(t=1.1),,77.87,33.58,90.01,0.69,29.48,14.71,52.4,34.84,78.08,18.77
MaxEntropy(best t=0.5),,77.43,33.68,90.09,0.59,29.55,14.83,53.21,34.91,78.43,19.03
RbA,81.68,69.99,80.06,86.97,99.95,25.97,8.79,56.11,82.68,74.62,20.41
RbA(t=0.5),,69.57,76.02,73.77,99.95,26.0,67.27,55.85,84.55,74.12,44.02
RbA(t=0.75),,69.79,78.1,84.74,99.95,25.97,16.61,56.16,84.6,74.55,20.37
RbA(t=1.1),,70.0,84.05,87.34,99.95,25.96,9.03,56.08,82.35,74.65,19.76
RbA(best t=2.0),,70.83,91.98,88.25,99.94,25.92,10.05,55.91,35.88,75.09,17.96
