Method,mIoU,RA-21 AuPRC,RA-21 FPR95,RO-21 AuPRC,RO-21 FPR95,FS L&F AuPRC,FS L&F FPR95,FS Static AuPRC,FS Static FPR95,RoadAnom AuPRC,RoadAnom FPR95
MSP,78.85,57.15,98.61,73.61,25.09,27.11,26.16,53.41,39.74,54.99,16.22
MSP(t=0.5),,58.59,98.6,73.69,25.1,27.07,26.22,53.35,39.78,54.96,16.27
MSP(t=0.75),,57.58,98.6,73.63,25.1,27.1,26.17,53.39,39.75,54.98,16.24
MSP(t=1.1),,57.05,98.61,73.6,25.09,27.11,26.16,53.41,39.74,54.99,16.22
MSP(best t=0.5),,58.59,98.6,73.69,25.1,27.07,26.22,53.35,39.78,54.96,16.27
MaxEntropy,78.85,54.49,98.82,72.62,57.49,28.56,26.33,54.27,39.25,56.22,14.78
MaxEntropy(t=0.5),,54.1,98.71,73.43,28.83,27.91,26.21,53.87,39.53,55.83,15.28
MaxEntropy(t=0.75),,54.37,98.81,72.96,36.81,28.27,26.26,54.1,39.4,56.08,14.99
MaxEntropy(t=1.1),,54.47,98.82,72.52,45.0,28.6,26.34,54.32,39.19,56.27,14.74
MaxEntropy(best t=1.5),,54.58,98.82,72.13,58.44,28.92,26.28,54.43,39.06,56.41,14.61
RbA,78.85,51.82,99.85,64.22,99.98,30.61,26.92,56.29,90.34,56.14,13.38
RbA(t=0.5),,51.52,99.53,62.1,99.98,31.42,78.97,56.29,89.51,52.39,81.57
RbA(t=0.75),,51.76,99.78,63.36,99.98,30.83,23.06,56.55,90.28,54.6,74.33
RbA(t=1.1),,51.83,99.86,64.43,99.98,30.56,28.24,56.19,90.29,56.3,12.37
RbA(best t=2.0),,51.88,99.87,66.12,99.98,30.36,24.49,55.73,89.65,56.57,12.09
