Method,mIoU,RA-21 AuPRC,RA-21 FPR95,RO-21 AuPRC,RO-21 FPR95,FS L&F AuPRC,FS L&F FPR95,FS Static AuPRC,FS Static FPR95,RoadAnom AuPRC,RoadAnom FPR95
MSP,72.5,29.09,62.57,2.71,65.27,1.75,50.62,7.47,41.84,12.42,82.59
MSP(t=0.5),,27.05,62.75,2.42,63.24,1.28,66.73,6.6,43.48,12.19,82.04
MSP(t=0.75),,28.15,62.51,2.57,64.17,1.49,51.77,6.99,42.5,12.32,82.33
MSP(t=1.1),,29.39,62.67,2.76,65.92,1.86,50.21,7.69,41.62,12.46,82.75
MSP(best t=2.0),,30.6,65.05,3.0,72.74,2.69,47.92,9.54,41.29,12.64,84.58
MaxEntropy,72.5,30.96,62.67,3.04,65.95,2.58,50.19,8.84,41.55,12.67,82.76
MaxEntropy(t=0.5),,28.58,62.74,2.64,63.73,1.59,52.82,7.04,43.2,12.33,82.26
MaxEntropy(t=0.75),,30.11,62.46,2.87,64.45,2.07,51.46,7.83,42.29,12.51,82.38
MaxEntropy(t=1.1),,31.12,62.92,3.09,66.74,2.76,49.88,9.25,41.34,12.71,82.98
MaxEntropy(best t=2.0),,30.27,67.09,2.97,75.98,3.51,47.1,11.72,41.75,12.79,85.6
