Model,mIoU,Method,RA-21 AuPRC,RA-21 FPR95,RO-21 AuPRC,RO-21 FPR95,FS L&F AuPRC,FS L&F FPR95,FS Static AuPRC,FS Static FPR95,RoadAnom AuPRC,RoadAnom FPR95
ERFNet,72.5,MSP,29.09,62.57,2.71,65.28,1.75,50.61,7.47,41.84,12.42,82.59
,,MaxLogit,38.31,59.36,4.63,48.49,3.3,45.49,9.5,40.32,15.58,73.27
,,MaxEntropy,30.96,62.68,3.04,65.96,2.58,50.18,8.84,41.55,12.67,82.76
EoMT-COCO,55.17,MSP,34.44,87.96,1.4,99.99,1.45,96.68,6.19,96.52,20.75,94.01
,,MaxLogit,35.2,87.77,1.41,99.99,1.44,96.69,6.24,96.61,21.0,94.08
,,MaxEntropy,41.07,80.14,3.67,99.99,1.16,96.45,5.89,97.24,23.4,92.71
,,RbA,23.84,64.89,39.36,99.99,0.19,97.13,1.51,99.95,17.85,79.63
EoMT-Cityscapes,81.68,MSP,74.36,33.73,90.11,0.55,25.42,14.9,54.35,34.94,75.69,19.31
,,MaxLogit,73.99,33.9,90.05,0.58,25.44,14.66,54.44,34.62,75.15,19.06
,,MaxEntropy,77.88,33.6,90.01,0.68,29.56,14.72,52.51,34.84,78.14,18.79
,,RbA,69.99,80.06,86.97,99.95,25.97,8.79,56.11,82.68,74.62,20.41
EoMT-Fine-tuned,78.85,MSP,57.15,98.61,73.61,25.09,27.11,26.16,53.41,39.74,54.99,16.22
,,MaxLogit,53.69,98.74,73.14,43.77,27.39,25.84,53.61,37.82,55.14,15.68
,,MaxEntropy,54.49,98.82,72.62,57.49,28.56,26.33,54.27,39.25,56.22,14.78
,,RbA,51.82,99.85,64.22,99.98,30.61,26.92,56.29,90.34,56.14,13.38
